;Education;Marital_Status;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Education_Level;Age;Total_Campaigns_Accepted;Average_Spend;Spent;Is_Parent;total_spending;avg_web_visits;online_purchase_ratio
63;PhD;Widow;67680.0;0;1;8;546;0;48;0;6;6;1;7;3;8;5;0;0;0;0;0;0;0;High;72;0;606.0;1152;1;606;0.4166666666666667;0.3888888888888889
64;Graduation;Together;70666.0;0;0;29;398;40;367;119;122;30;1;7;4;4;4;0;0;0;0;0;0;0;High;75;0;1076.0;1474;0;1076;0.3333333333333333;0.4666666666666667
65;Graduation;Married;25721.0;1;0;75;1;3;6;3;6;15;1;1;1;2;7;0;0;0;0;0;0;1;High;52;0;34.0;35;1;34;0.5833333333333334;0.25
66;Graduation;Together;32474.0;1;1;0;10;0;1;0;0;0;1;1;0;2;7;0;0;0;0;0;0;0;High;56;0;11.0;21;1;11;0.5833333333333334;0.3333333333333333
67;2n Cycle;Single;88194.0;0;1;19;688;14;309;201;24;38;1;11;10;10;5;1;0;0;1;0;0;1;Low;44;2;1274.0;1962;1;1274;0.4166666666666667;0.3548387096774194
68;Graduation;Together;69096.0;0;1;4;247;49;159;7;82;109;1;5;2;10;4;0;0;0;0;0;0;0;High;65;0;653.0;900;1;653;0.3333333333333333;0.29411764705882354
69;Graduation;Together;74854.0;1;2;90;856;59;487;58;29;73;7;2;5;5;5;0;0;0;0;0;0;0;High;53;0;223.14285714285714;2418;1;1562;0.4166666666666667;0.16666666666666666
70;Master;Married;66991.0;0;0;1;496;36;460;189;60;12;3;4;8;6;3;0;0;0;0;0;0;0;High;69;0;417.6666666666667;1749;0;1253;0.25;0.2222222222222222
72;Graduation;Married;65031.0;0;1;29;258;107;291;84;37;86;4;10;3;13;7;0;0;0;0;0;0;0;High;64;0;215.75;1121;1;863;0.5833333333333334;0.38461538461538464
73;PhD;Married;60631.0;1;1;88;565;6;65;0;6;19;5;9;2;8;7;0;1;0;0;0;0;0;High;48;1;132.2;1226;1;661;0.5833333333333334;0.47368421052631576
74;Graduation;Married;28332.0;0;0;58;14;10;13;4;15;9;1;2;1;4;2;0;0;0;0;0;0;0;High;71;0;65.0;79;0;65;0.16666666666666666;0.2857142857142857
75;Graduation;Divorced;40246.0;1;0;68;2;1;6;2;1;1;1;1;0;2;6;0;0;0;0;0;0;0;High;46;0;13.0;15;1;13;0.5;0.3333333333333333
76;Master;Married;75251.0;0;0;34;721;111;925;97;18;18;1;7;6;5;5;0;0;0;0;0;0;1;High;51;0;1890.0;2611;0;1890;0.4166666666666667;0.3888888888888889
77;Graduation;Single;75825.0;0;0;40;1032;105;779;137;105;51;0;5;8;9;4;1;0;0;0;0;0;1;High;47;1;inf;3241;0;2209;0.3333333333333333;0.22727272727272727
78;2n Cycle;Together;26326.0;0;0;12;1;0;5;0;3;9;1;0;0;3;3;0;0;0;0;0;1;0;Low;47;0;18.0;19;0;18;0.25;0.0
79;Graduation;Together;56046.0;0;0;9;577;0;64;0;0;51;2;10;1;8;8;1;0;0;0;0;0;1;High;58;1;346.0;1269;0;692;0.6666666666666666;0.5263157894736842
80;Graduation;Single;29760.0;1;0;87;64;4;68;7;5;17;4;3;1;4;8;0;0;0;0;0;0;0;High;38;0;41.25;229;1;165;0.6666666666666666;0.375
81;Graduation;Married;26304.0;1;0;5;4;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;0;0;High;54;0;16.0;20;1;16;0.5833333333333334;0.3333333333333333
82;2n Cycle;Married;23559.0;1;0;87;25;5;19;7;0;23;3;3;0;3;7;0;0;0;0;0;0;0;Low;50;0;26.333333333333332;104;1;79;0.5833333333333334;0.5
83;Master;Together;38620.0;0;0;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;0;High;60;0;318.0;430;0;318;0.25;0.2
84;Graduation;Divorced;81361.0;0;0;18;163;23;424;27;65;76;1;3;10;13;1;0;0;0;0;0;0;0;High;36;0;778.0;941;0;778;0.08333333333333333;0.11538461538461539
85;Graduation;Married;29440.0;1;1;95;17;8;14;10;4;3;2;1;0;4;7;0;0;0;0;0;0;0;High;63;0;28.0;73;1;56;0.5833333333333334;0.2
86;Master;Married;36138.0;1;1;48;130;0;16;0;0;5;5;3;1;4;7;0;1;0;0;0;0;0;High;53;1;30.2;281;1;151;0.5833333333333334;0.375
87;Graduation;Single;50388.0;0;1;3;292;6;37;0;3;34;4;6;1;6;7;0;1;0;1;0;0;1;High;66;2;93.0;664;1;372;0.5833333333333334;0.46153846153846156
88;Graduation;Married;79593.0;0;0;70;350;60;568;110;133;145;1;5;6;7;2;0;0;1;0;0;0;0;High;50;1;1366.0;1716;0;1366;0.16666666666666666;0.2777777777777778
89;Graduation;Together;54178.0;0;1;79;135;9;39;4;0;7;1;2;2;5;2;0;0;0;0;0;0;0;High;56;0;194.0;329;1;194;0.16666666666666666;0.2222222222222222
93;Master;Single;42394.0;1;0;69;15;2;10;0;1;4;1;1;0;3;7;0;0;0;0;0;0;0;High;51;0;32.0;47;1;32;0.5833333333333334;0.25
94;PhD;Married;23626.0;1;0;84;27;2;14;0;0;0;3;3;1;3;5;0;0;0;0;0;0;0;High;53;0;14.333333333333334;70;1;43;0.4166666666666667;0.42857142857142855
95;Graduation;Married;30096.0;1;0;30;5;3;11;12;5;9;1;2;0;3;6;0;0;0;0;0;0;0;High;40;0;45.0;50;1;45;0.5;0.4
96;Graduation;Widow;47916.0;0;1;72;505;0;26;0;0;75;5;7;4;6;6;0;1;0;0;0;0;0;High;63;1;121.2;1111;1;606;0.5;0.4117647058823529
97;Graduation;Divorced;51813.0;1;1;37;51;2;7;0;1;2;2;2;0;3;7;0;0;0;0;0;0;0;High;51;0;31.5;114;1;63;0.5833333333333334;0.4
98;2n Cycle;Married;78497.0;0;0;44;207;26;447;75;0;223;1;5;7;12;2;0;0;0;1;0;0;0;Low;72;1;978.0;1185;0;978;0.16666666666666666;0.20833333333333334
99;PhD;Married;50150.0;0;0;32;135;46;92;65;61;11;2;5;2;7;5;0;0;0;0;0;0;0;High;40;0;205.0;545;0;410;0.4166666666666667;0.35714285714285715
100;2n Cycle;Single;47823.0;0;1;0;53;1;5;2;1;10;2;2;0;3;8;0;0;0;0;0;0;0;Low;63;0;36.0;125;1;72;0.6666666666666666;0.4
101;PhD;Single;34554.0;0;1;43;41;1;6;2;0;5;2;2;0;3;6;0;0;0;0;0;0;0;High;64;0;27.5;96;1;55;0.5;0.4
102;Graduation;Together;85693.0;0;1;59;386;172;183;185;132;111;2;9;5;11;5;0;0;0;0;0;0;0;High;44;0;584.5;1555;1;1169;0.4166666666666667;0.36
103;PhD;Married;65846.0;0;0;68;562;81;276;80;40;81;1;6;3;6;4;0;0;0;0;0;0;0;High;78;0;1120.0;1682;0;1120;0.3333333333333333;0.4
104;Graduation;Married;87195.0;0;0;35;217;76;690;50;26;38;1;3;11;5;1;0;0;0;0;0;0;1;High;64;0;1097.0;1314;0;1097;0.08333333333333333;0.15789473684210525
105;Basic;Together;24594.0;1;0;94;1;3;6;10;0;9;1;1;0;3;5;0;0;0;0;0;0;0;Middle;44;0;29.0;30;1;29;0.4166666666666667;0.25
106;Graduation;Married;49096.0;1;1;15;144;1;32;2;1;7;4;4;1;4;7;0;0;0;0;0;0;0;High;59;0;46.75;331;1;187;0.5833333333333334;0.4444444444444444
107;Graduation;Married;52413.0;0;2;56;295;106;271;75;98;65;4;6;4;12;6;0;0;0;0;0;0;0;High;54;0;227.5;1205;1;910;0.5;0.2727272727272727
108;Graduation;Single;38557.0;1;0;17;76;3;31;4;4;27;2;3;1;3;7;0;0;0;0;0;0;0;High;45;0;72.5;221;1;145;0.5833333333333334;0.42857142857142855
109;Master;Married;89058.0;0;0;18;454;194;106;31;22;43;1;5;4;4;2;0;0;0;0;0;0;0;High;63;0;850.0;1304;0;850;0.16666666666666666;0.38461538461538464
110;Graduation;Together;77298.0;0;1;46;425;115;292;23;35;79;1;6;6;11;3;0;0;0;0;0;0;0;High;44;0;969.0;1394;1;969;0.25;0.2608695652173913
111;PhD;Single;68126.0;0;0;40;1332;17;311;23;51;86;1;7;4;5;9;0;1;0;0;0;0;1;High;32;1;1820.0;3152;0;1820;0.75;0.4375
112;Master;Together;57288.0;0;1;27;527;0;21;0;0;60;3;8;1;8;6;0;1;0;0;0;0;0;High;60;1;202.66666666666666;1135;1;608;0.5;0.47058823529411764
113;Graduation;Single;86037.0;0;0;95;490;44;125;29;20;22;1;6;7;11;3;0;1;1;0;0;0;1;High;32;2;730.0;1220;0;730;0.25;0.25
114;PhD;Married;43974.0;1;0;19;378;0;101;0;0;72;5;6;4;6;7;0;0;0;0;0;0;0;High;43;0;110.2;929;1;551;0.5833333333333334;0.375
115;Graduation;Single;50785.0;1;1;27;64;1;21;0;1;27;2;2;1;3;6;0;0;0;0;0;0;0;High;61;0;57.0;178;1;114;0.5;0.3333333333333333
116;Graduation;Married;90765.0;0;0;25;547;99;812;151;82;33;0;4;6;5;1;0;0;1;1;0;0;0;High;53;2;inf;2271;0;1724;0.08333333333333333;0.26666666666666666
117;2n Cycle;Married;36550.0;1;0;74;47;90;94;123;103;120;5;9;1;5;9;0;0;0;0;0;0;0;Low;45;0;115.4;624;1;577;0.75;0.6
118;2n Cycle;Together;30753.0;1;1;85;12;5;25;0;9;30;2;1;1;3;5;0;0;0;0;0;0;0;Low;56;0;40.5;93;1;81;0.4166666666666667;0.2
119;Graduation;Together;21918.0;1;0;37;1;6;7;11;5;3;2;2;0;3;6;0;0;0;0;0;0;0;High;54;0;16.5;34;1;33;0.5;0.4
120;Master;Together;56129.0;0;1;65;320;48;133;39;72;48;4;6;2;10;4;0;0;0;0;0;0;0;High;70;0;165.0;980;1;660;0.3333333333333333;0.3333333333333333
121;Master;Single;32557.0;1;0;13;34;3;29;0;4;10;3;2;1;3;5;0;0;0;0;0;0;1;High;56;0;26.666666666666668;114;1;80;0.4166666666666667;0.3333333333333333
122;Master;Married;19510.0;2;0;63;9;0;7;3;4;7;2;1;0;3;7;0;0;0;0;0;0;0;High;38;0;15.0;39;1;30;0.5833333333333334;0.25
123;Graduation;Divorced;30992.0;1;0;83;17;0;14;7;3;2;1;1;0;3;7;0;0;0;0;0;0;0;High;47;0;43.0;60;1;43;0.5833333333333334;0.25
124;Graduation;Single;101970.0;0;0;69;722;27;102;44;72;168;0;6;8;13;2;0;1;1;1;0;0;1;High;40;3;inf;1857;0;1135;0.16666666666666666;0.2222222222222222
125;2n Cycle;Together;71488.0;0;0;87;162;33;124;40;28;172;2;3;4;7;1;0;0;0;0;0;0;0;Low;58;0;279.5;721;0;559;0.08333333333333333;0.21428571428571427
126;Graduation;Single;79607.0;0;0;37;450;133;951;173;0;216;1;3;6;6;1;0;0;0;0;0;0;1;High;39;0;1923.0;2373;0;1923;0.08333333333333333;0.2
127;Master;Married;54348.0;1;1;51;70;0;16;0;0;4;2;2;0;4;6;0;0;0;0;0;0;0;High;70;0;45.0;160;1;90;0.5;0.3333333333333333
129;PhD;Together;77376.0;1;1;72;492;19;110;16;12;12;4;6;3;10;4;0;0;0;0;0;0;0;High;67;0;165.25;1153;1;661;0.3333333333333333;0.3157894736842105
130;Graduation;Married;62998.0;0;1;10;120;58;73;65;89;58;5;5;4;5;5;0;0;0;0;0;0;0;High;71;0;92.6;583;1;463;0.4166666666666667;0.35714285714285715
131;Master;Alone;61331.0;1;1;42;534;5;47;0;5;41;5;11;1;6;8;0;0;0;0;0;0;0;High;65;0;126.4;1166;1;632;0.6666666666666666;0.6111111111111112
132;Graduation;Married;73448.0;0;0;10;236;106;189;23;41;130;1;7;2;9;4;0;0;0;0;0;0;0;High;54;0;725.0;961;0;725;0.3333333333333333;0.3888888888888889
134;PhD;Married;41551.0;1;1;51;220;0;33;3;0;23;5;5;1;5;8;0;0;0;0;0;0;0;High;59;0;55.8;499;1;279;0.6666666666666666;0.45454545454545453
135;PhD;Together;62981.0;0;0;21;796;14;590;38;44;0;1;4;5;13;3;0;1;0;0;0;0;0;High;56;1;1482.0;2278;0;1482;0.25;0.18181818181818182
136;Basic;Divorced;9548.0;1;0;31;0;1;3;10;6;9;2;1;0;3;8;0;0;0;0;0;0;0;Middle;47;0;14.5;29;1;29;0.6666666666666666;0.25
137;PhD;Married;33762.0;2;1;61;53;1;34;2;0;16;3;2;2;2;8;0;0;0;0;0;0;0;High;64;0;35.333333333333336;159;1;106;0.6666666666666666;0.3333333333333333
138;PhD;Alone;35860.0;1;1;37;15;0;8;4;2;20;2;1;1;2;5;1;0;0;0;0;0;1;High;50;1;24.5;64;1;49;0.4166666666666667;0.25
139;PhD;Divorced;36921.0;1;1;74;17;1;12;3;1;4;2;2;0;3;7;0;0;0;0;0;0;0;High;58;0;19.0;55;1;38;0.5833333333333334;0.4
140;Master;Single;92859.0;0;0;46;962;61;921;52;61;20;1;5;4;12;2;0;0;0;0;0;0;0;High;31;0;2077.0;3039;0;2077;0.16666666666666666;0.23809523809523808
141;Master;Together;65104.0;0;1;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;0;1;High;47;0;526.5;1791;1;1053;0.5833333333333334;0.2
142;Graduation;Married;86111.0;0;0;73;399;28;756;36;40;126;1;5;7;10;2;0;0;0;0;0;0;0;High;61;0;1385.0;1784;0;1385;0.16666666666666666;0.22727272727272727
143;PhD;Single;68352.0;0;1;47;614;16;132;43;33;33;3;8;5;9;6;0;0;0;0;0;0;0;High;49;0;290.3333333333333;1485;1;871;0.5;0.36363636363636365
144;Graduation;Together;41883.0;1;0;13;32;34;41;73;16;116;3;4;2;3;7;0;0;0;0;0;0;0;High;35;0;104.0;344;1;312;0.5833333333333334;0.4444444444444444
145;Graduation;Married;59809.0;0;2;36;598;16;141;32;41;49;3;3;3;6;8;0;0;0;0;0;0;0;High;47;0;292.3333333333333;1475;1;877;0.6666666666666666;0.25
146;Graduation;Married;23957.0;1;0;47;2;1;18;20;11;16;1;2;0;3;6;0;0;0;0;0;0;1;High;48;0;68.0;70;1;68;0.5;0.4
147;Graduation;Together;38547.0;1;0;49;6;1;10;0;1;4;1;1;0;2;8;0;0;0;0;0;1;0;High;42;0;22.0;28;1;22;0.6666666666666666;0.3333333333333333
148;2n Cycle;Married;35688.0;2;1;94;73;3;90;12;1;32;7;4;1;4;8;0;0;0;0;0;0;0;Low;50;0;30.142857142857142;284;1;211;0.6666666666666666;0.4444444444444444
149;Master;Married;49605.0;0;0;65;42;16;29;12;20;8;1;2;1;4;3;0;0;0;0;0;0;0;High;57;0;127.0;169;0;127;0.25;0.2857142857142857
150;Master;Married;59354.0;0;2;59;295;21;78;39;13;13;1;4;4;7;3;0;0;0;0;0;0;0;High;70;0;459.0;754;1;459;0.25;0.26666666666666666
151;Graduation;Married;65747.0;0;1;96;346;17;48;23;13;13;4;8;1;6;6;0;1;0;0;0;0;0;High;54;1;115.0;806;1;460;0.5;0.5333333333333333
152;2n Cycle;Together;46344.0;0;1;28;233;20;57;8;20;91;4;7;1;5;7;0;0;0;0;0;0;0;Low;51;0;107.25;662;1;429;0.5833333333333334;0.5384615384615384
153;Graduation;Alone;34176.0;1;0;12;5;7;24;19;14;20;4;3;0;4;6;0;0;0;0;0;0;0;High;35;0;22.25;94;1;89;0.5;0.42857142857142855
154;PhD;Together;61010.0;0;1;57;888;0;57;0;0;76;2;8;5;11;5;0;0;0;0;0;0;0;High;71;0;510.5;1909;1;1021;0.4166666666666667;0.3333333333333333
155;Graduation;Together;69372.0;0;0;10;997;26;269;34;13;42;1;10;4;6;4;0;1;1;0;0;0;1;High;74;2;1381.0;2378;0;1381;0.3333333333333333;0.5
156;Graduation;Single;49967.0;0;1;4;212;6;69;4;12;3;3;6;1;5;7;0;0;0;0;0;0;0;High;65;0;102.0;518;1;306;0.5833333333333334;0.5
157;Graduation;Single;60199.0;1;2;49;8;1;7;2;0;0;1;0;0;3;4;0;0;0;0;0;0;0;High;45;0;18.0;26;1;18;0.3333333333333333;0.0
158;Graduation;Together;55375.0;0;1;3;42;11;57;10;28;14;1;1;1;6;2;0;0;0;0;0;0;0;High;46;0;162.0;204;1;162;0.16666666666666666;0.125
159;Graduation;Single;80317.0;0;0;64;536;11;387;149;91;57;1;3;4;10;1;0;0;0;0;0;0;0;High;68;0;1231.0;1767;0;1231;0.08333333333333333;0.17647058823529413
160;Master;Single;30523.0;2;1;0;5;0;3;0;0;5;1;1;0;2;7;0;0;0;0;0;0;0;High;65;0;13.0;18;1;13;0.5833333333333334;0.3333333333333333
161;PhD;Married;70356.0;0;0;20;1349;16;249;43;16;33;2;10;6;9;6;0;0;0;0;0;0;0;High;78;0;853.0;3055;0;1706;0.5;0.4
162;Graduation;Married;23228.0;1;0;91;53;3;49;7;4;5;4;3;0;4;8;0;0;0;0;0;0;0;High;39;0;30.25;174;1;121;0.6666666666666666;0.42857142857142855
